article number,article name ,Commodity Group Name,Product Retail Price
748252004499,SWIFT SINGLE MALT TX WHISKEY 750ML,WHISKEY,47.99
811538010085, EL ZARCO 750ML,TEQUILA,19.99
081128001360,WOODFORD RESERVE LD SELECT BARREL 1L,WHISKEY,49.99
089744327857,FOLONARI PINOT GRIGIO 1.5L,WINE,10.99
088352130767,YELLOW STONE 101 PROOF 750ML,WHISKEY,99.99
721059002417,SKYY BARLETTE PEAR 1.75L,VODKA,24.99
856417003024,WESTERN SON 1.75L,VODKA,22.99
084279992273,STARLING CASTLE REISLING MOSCATO 750ML,WINE,
039383005944,MICHTERS WSKY AM SMALL BATCH 83.4 750ML,WHISKEY,48.99
082000770022,SMIRNOFF SORBET WHT PEACH 750,VODKA,15.99
050037016420,DISARONNO 1.75L,LIQUEUR,47.99
732048003292,ROSENBLUM PETOTE SIRAH 750ML,WINE,19.99
3760175131073,RUSSIAN ROULETTE VODKA,VODKA,21.99
720815980433,SEAGRAMS WILD GRAPE VODKA750ML,VODKA,12.59
089121018521,J LOHR WHITE RIESLING 750ML,WINE,
031259008950,YELLOWTAIL SHIRAZ 1.5L,WINE,12.99
080686479109,SUNNY BROOK 1.75L,WHISKEY,13.99
081308004150,CUPCAKE SPARKLING ROSE 750ML,WINE,12.99
088004019174,BENCHMARK EGG NOG 1.75L,LIQUEUR,16.99
081128002145,SLANE IRISH WHISKEY 750ML,WHISKEY,29.99
089819102235,BETINGER FOUNDER CHARDONNAY 1.5L,WINE,12.99
1153801203,MAESTRO DOBEL SILVER 750ML,TEQUILA,32.99
852176003466,BERENTZEN APPLE 750ML,LIQUEUR,19.99
9419056080132,DOCTORS RIESLING,WINE,
083085430009,ROSATELLO MOSCATO 750ML,WINE,10.99
088940000984,TAYLOR COOK SHERRY 1.5L,WINE,10.99
083417007046,HAY MAKER SAUV BLANC 750ML,WINE,17.99
085000019474,NEW AMSTERDAM 200ML,VODKA,3.99
015918201425,COA JIMA REPOSADO 1.75ML,TEQUILA,34.99
080516651446,TORRALTA,WINE,8.99
082184000335,JACK DANIELS HONEY 750ML,WHISKEY,22.99
856417003772,WESTERN SON GRAPEFRUIT 1.75L,VODKA,22.99
082242331036,TWISTED CHARDONNAY 750ML,WINE,
891156001030,FORTY CREEK BARREL SELECT 1L,WHISKEY,29.99
6397397601558,DEPSPAGNE LE MYTHE D AMPHORIE,WINE,9.99
83804046207,CISCO PEACH 750ML,WINE,
835229001602,ABSOLUT CITRON 1.75L,VODKA,32.99
087236400118,HIGHLAND PARK 18YR 750ML,SCOTCH,139.99
040232433023,FOUR ROSES SM  LTD RELEASE BATCH 750ML,WHISKEY,249.99
085000020319,DARK HORSE CHARD 750ML,WINE,8.99
087236700522,BRUICHLADDICH PORT CHARLOTTE ISLAY BARLEY,SCOTCH,72.99
039383007184,MICHTERS BBN SM BATCH 91.4 750ML,WHISKEY,39.99
083103142327,POTTERS WHISKEY 750ML,WHISKEY,
843644000025,GLOBAL ORGANIC 750ML,VODKA,19.99
859685005837,WESTERN SON WATERMELON 50ML,VODKA,0.99
082000773238,SHADY FRUIT REAL VALENCIA ORANGE 1.75ML,VODKA,8.99
080686122128,GILBEYS GIN 1.75L,GIN,21.99
087116015678,UV CANDY BAR 750ML,VODKA,9.99
080432401224,SEAGRAMS GIN 375ML,GIN,5.99
858499003183,THE INFINITE MONKEY ROSE,WINE,14.99
085000020517,CHOCOLATEROUGE DARK RED 750ML,WINE,9.99
096749203116,BURNETTS WHIPPED 750ML,VODKA,
085919008071,STE GENEVIEVE WHITE ZIN 1.5L,WINE,8.99
012354081826,LINDEMANS SAUVIGNON BLANC 750ML,WINE,4.99
081753814908,GLEN SINGLE MALT 1.75L,SCOTCH,
081128069797,LITTLE BLACK DRESS PINEAPPLE 750ML,VODKA,0.00
766427004075,NAUGHTY COW CAKE 750ML,LIQUEUR,13.99
083089014359,JAGERMEISTER MANIFEST 1L,LIQUEUR,99.99
085000021644,NEW AMSTERDAM PEACH 1L,VODKA,14.99
830617000274,PINK PELICAN SEMI SWEET 750ML,WINE,8.99
871804002329,TEQUILAME EX ANE 750ML,TEQUILA,49.99
031259018508,YELLOWTAIL ROSE 750ML,WINE,4.99
083664871209,STOLICHNAYA POMEGRANIK 750ML,VODKA,4.99
818838000358,PUERTO VIEJO CAB 750ML,WINE,
082184001219,JACK DANIELS FIRE 1.75L,WHISKEY,41.99
858155005001,BONN OIR 750ML,VODKA,
8507100030194,SUAVECITO BLANCO 750ML,TEQUILA,34.99
098709084476,CASTELLO DI BOSSI CHIANTI CLASSIC 375ML,WINE,4.99
898432002026,DULCE VIDA ORGANIC REPOSADO 750ML,TEQUILA,42.99
085592143793,360 RED DELICIOUS APPLE 1L,VODKA,13.99
752245218503,COLOMBO MARSALA DRY 750ML,WINE,10.99
721059893756,WILD TURKEY 101 375ML,WHISKEY,8.99
089708460705,PINNACLE WHIPPED 750ML,VODKA,
083120001447,FRANZIA SWEET RED 5L,WINE,15.99
082000778615,ORPHAN BARREL RHETORIC 22YR SMALL BATCH 750ML,WHISKEY,149.99
087110900789,TOASTED HEAD RED 750ML,WINE,9.99
088716722003,PRO BAR EMERALD LIME CONC 32OZ,MIXERS,3.99
087116015227,UV COCONUT 1L,VODKA,6.99
086785450148,LANCERS WHITE 1.5L,WINE,
851645006342,XICARU MEZCAL REPOSADO 750ML,TEQUILA,34.99
084444100113,JORDAN CAB SAUV AXLEXANDER 750ML,WINE,49.99
086003000421,ROBERT MONDAVI MERLOT 750ML,WINE,11.99
7502212185115,TRES PESOS SILVER 750ML,TEQUILA,9.99
086003005105,SIMPLY NAKED MOSCATO 750ML,WINE,
085000024874,NEW AMSTERDAM APPLE 750ML,VODKA,11.99
822020,JEREMIAH WEED SWEET TEA 750ML,VODKA,18.99
085000012352,ANDRE STRAWBERRY MOSCATO 750ML,WINE,6.99
720815985834,SEAGRAMS VODKA 750ML PET,VODKA,10.99
089636190002,WENTE CHARDONNAY 750ML,WINE,13.99
017619021043,OPERA PRIMA TEMPRANILLO,WINE,5.99
627040411568,AURORA CRYSTAL HEAD ,VODKA,79.99
040267100709,VALLEY OF THE MOON CHARD 750ML,WINE,14.99
895397010004,EXCEPTION 750ML,LIQUEUR,17.99
858852006707,WITHERSPOON SHERRY CASK 750ML,WHISKEY,79.99
7809623200322,FALERNIA CARMENERE 2006 750ML,WINE,
7013,ORPHEUS SIRAH 750ML,WINE,34.99
720815982482,SEAGRAMS APPLE 100ML,VODKA,1.99
899919000702,IVANABITCH NAUGHTY NOG 750ML,LIQUEUR,
811538010894,CUERVO ESP GOLD 375ML,TEQUILA,11.99
080480172015,CAZADORES BLANCO 1L,TEQUILA,34.99
085592118845,MCCORMICK WHISKEY TRAV 750ML,WHISKEY,6.49
721059847506,WILD TURKEY 81 750ML,WHISKEY,17.99
088004021207,SWEET CAROLINA 1.75L,LIQUEUR,23.99
890344002057,CRUZ DEL SOL REPOSADO 375ML,TEQUILA,12.99
088352110929,EZRA BROOKS BLACK 90 750ML,WHISKEY,11.99
852935001085,CHOPIN RYE 750ML,VODKA,27.99
080480000127,DEWARS 18YR 750ML,SCOTCH,69.99
080686119135,PUCKER CITRUS 750ML,VODKA,
096749021772,EVAN WILLIAMS BLACK 750ML PET,WHISKEY,11.99
083664870851,STOLICHNAYA CRANBERI 750ML,VODKA,21.99
889966,MASTER OF MIXES 5 PEPPER BLOODY MARY 1L WITH COUPON,MIXERS,4.99
4600577001026,WHITE LYNX VODKA 750ML,VODKA,15.99
088004026172,FIREBALL 1.75L PET,WHISKEY,26.99
088586004162,CSM SWEET REISLING,WINE,
070491301061,MARTINI GOLD SOUR APPLE 375ML,MIXERS,2.99
7503004682522,GOLF CLUB BLANCO TEQUILA 750ML,TEQUILA,79.99
812459010284,KRU METAL 1.75L,VODKA,19.99
088004032722,BLACK & WHITE SCOTCH 1.75L,SCOTCH,39.99
086785260181,BOTTEGA GIANDUIA 750ML,LIQUEUR,
080516113371,RIUNITE PEACH MOSCATO 4PK,WINE,6.99
080432112175,GLENLIVET FOUNDERS RESERVE 1.75ML,SCOTCH,69.99
096749200429,BURNETTS VANILLA 1.75L,VODKA,13.99
82358600062,VODQUILA 375ML,TEQUILA,9.99
830617000212,HAAK RESERVE TAWNY PORT 750ML,WINE,10.99
085592418228,VIAKA VODKA 1.75 L,VODKA,10.99
088004004569,PLATINUM GIN 750ML,GIN,9.99
085976034150,MANISCHEWITZ CONCORD GRAPE 1.5L,WINE,8.99
085000018002,REDWOOD CREEK 1.5L,WINE,9.99
070655000137,MR & MRS T MARGARITA 4PK,MIXERS,5.99
02129660721,PAUL MASSON WHITE ZINFANDEL 1.5L,WINE,
736040515296,TY KU 375ML,LIQUEUR,18.99
081753821050,GRAND MARNIER CENT CINQUANTENAIRE 750ML,LIQUEUR,189.99
733353400073,MYX FUSIONS MOSCATO 375ML,WINE,
732048005104,STARK RAVING WHITE 750ML,WINE,9.99
795652200501,JINRO CHAMISUL ORIGINAL 375ML,WINE,5.49
854125003091,TRES AGAVES BLOODY MARY 1L,MIXERS,7.99
879247000131,2NITE CAFFE ESPRESSO 750ML,VODKA,
085000019481,NEW AMSTERDAM 375ML,VODKA,5.99
720815980037,SEAGRAMS APRICOT VODKA 750ML,VODKA,11.99
086767704382,BAILEYS VANILLA CINNAMON 750ML,LIQUEUR,23.99
085000005170,GALLO FAMILY WHITE ZINFANDEL 4PK,WINE,5.99
721733400003,ULTIMAT 750ML,VODKA,29.99
087872633901,STELLA ROSA GREEN APPLE 750ML,WINE,11.99
019379001945,DAVID BRUCE PINOT NOIR 2010 750ML,WINE,28.99
086095222220,NORMA JEANE MERLOT 750ML,WINE,
088004004880,CARIBOU CROSSING 750ML,WHISKEY,
088586001772,14 HANDS MERLOT 750ML,WINE,11.99
083085420246,RUFFINO PROSECCO 3PK,WINE,12.99
721059513753,CAROLANS IRISH CREAM 375ML,LIQUEUR,
674545000827,DON JULIO ANEJO 70TH 750ML,TEQUILA,64.99
736211964854,SMART ENERGY SHOTS CITRUS BLEND 750ML,MIXERS,4.99
851120004276,SANGRE DE VIDA MEZCAL REPOSADO 750ML,TEQUILA,39.99
811538015042,THREE OLIVES LOOPY 1L,VODKA,
083103028102,BARRETTS GIN 1.75L,GIN,12.99
086788555574,CYCLE GLADIATOR CHARDONNAY 750ML,WINE,9.99
816234010223,CALAVERA REPO 750ML,TEQUILA,45.99
085592132957,MCCORMICK CITRUS 750ML,VODKA,6.99
759380113977,ANTIGUA CRZ SIL 750ML,TEQUILA,14.99
766427003764,WOOODSTOCK HOT LICKS 750ML,LIQUEUR,7.99
085000009840,GALLO MERLOT 750ML,WINE,6.99
094799020035,DOWS FINE WHITE PORTO 750ML,WINE,
721059087506,OUZO #12 750ML,LIQUEUR,19.99
080244002541,RAIN CUCUMBER 750ML,VODKA,17.99
081753810887,GLENMORANGIE NECTAR D ORO 750ML,SCOTCH,64.99
084279992082,BEVIAMO MOSCATO D'ASTI 1.5L,WINE,20.99
085200118847,SUTTER HOME RED MOSCATO 4PK,WINE,5.99
083300034531,CHAMBORD 750ML,LIQUEUR,31.99
082184254318,JACK DANIELS SINGLE BARREL 750ML GIFT SET,WHISKEY,49.99
088352128504,EL MAYOR ANEJO 50ML,TEQUILA,1.99
736211742384,MAMOSI POM CHERI,WINE,
